normal,all,0.47,52,3529,31-05-2022_08-11-31,t5-large,/scratch/arminz/tmp/currl_/data/all/data/elastic/kibana_conf,source-test,2022-05-31 08:11:31.368092, 2022-05-31 08:15:44.879641, 2022-05-31 08:50:42.128078, 2022-05-31 08:50:42.143069
normal,/data/all/data/Encapsule-Annex/onm,1.00,1,39,31-05-2022_08-55-09,t5-large,/scratch/arminz/tmp/currl_/data/all/data/Encapsule-Annex/onm_conf,repo-based-included,2022-05-31 08:55:09.125504, 2022-05-31 08:55:58.293819, 2022-05-31 08:56:22.571735, 2022-05-31 08:56:22.574102
normal,all,0.48,52,3529,31-05-2022_08-56-57,t5-large,/scratch/arminz/tmp/currl_/data/all/data/Encapsule-Annex/onm_conf,source-test,2022-05-31 08:56:57.426678, 2022-05-31 09:01:22.919475, 2022-05-31 09:36:27.951088, 2022-05-31 09:36:27.953664
normal,/data/all/data/sequelize/sequelize,0.53,12,40,31-05-2022_09-41-40,t5-large,/scratch/arminz/tmp/currl_/data/all/data/sequelize/sequelize_conf,repo-based-included,2022-05-31 09:41:40.743510, 2022-05-31 09:42:29.000756, 2022-05-31 09:43:20.582864, 2022-05-31 09:43:20.585058
normal,all,0.47,52,3529,31-05-2022_09-43-50,t5-large,/scratch/arminz/tmp/currl_/data/all/data/sequelize/sequelize_conf,source-test,2022-05-31 09:43:50.461309, 2022-05-31 09:48:27.512814, 2022-05-31 10:24:36.285437, 2022-05-31 10:24:36.287914
normal,/data/all/data/dcos/dcos-ui,0.95,9,37,31-05-2022_10-29-04,t5-large,/scratch/arminz/tmp/currl_/data/all/data/dcos/dcos-ui_conf,repo-based-included,2022-05-31 10:29:03.995029, 2022-05-31 10:29:59.024193, 2022-05-31 10:30:37.499620, 2022-05-31 10:30:37.535633
normal,all,0.48,52,3529,31-05-2022_10-31-13,t5-large,/scratch/arminz/tmp/currl_/data/all/data/dcos/dcos-ui_conf,source-test,2022-05-31 10:31:13.679681, 2022-05-31 10:36:03.289580, 2022-05-31 11:11:11.245746, 2022-05-31 11:11:11.248051
normal,/data/all/data/LivelyKernel/LivelyKernel,0.64,12,36,31-05-2022_11-15-23,t5-large,/scratch/arminz/tmp/currl_/data/all/data/LivelyKernel/LivelyKernel_conf,repo-based-included,2022-05-31 11:15:23.162576, 2022-05-31 11:17:12.105230, 2022-05-31 11:17:56.990855, 2022-05-31 11:17:56.993008
normal,all,0.48,52,3529,31-05-2022_11-18-30,t5-large,/scratch/arminz/tmp/currl_/data/all/data/LivelyKernel/LivelyKernel_conf,source-test,2022-05-31 11:18:30.355908, 2022-05-31 11:22:40.258558, 2022-05-31 11:57:43.056623, 2022-05-31 11:57:43.059443
normal,/data/all/data/svgdotjs/svg.js,0.74,5,31,31-05-2022_12-03-07,t5-large,/scratch/arminz/tmp/currl_/data/all/data/svgdotjs/svg.js_conf,repo-based-included,2022-05-31 12:03:07.431062, 2022-05-31 12:03:55.582122, 2022-05-31 12:04:20.749747, 2022-05-31 12:04:20.752236
